observation_date,FEDFUNDS,CORESTICKM159SFRBATL,INDPRO,LAYOFFS,UNCERTAINTY
9/1/2007,4.94,2.4838823,101.9398,28.08546556,71.08315539
10/1/2007,4.76,2.5033248,101.6345,20.45880044,79.70552519
11/1/2007,4.49,2.6563697,102.2068,18.68324657,62.72791948
12/1/2007,4.24,2.7127336,102.2604,20.96955803,94.40936888
1/1/2008,3.94,2.7470404,102.14,24.37651417,154.8352392
2/1/2008,2.98,2.6165653,101.7671,21.17252033,101.6228183
3/1/2008,2.61,2.6887664,101.4355,36.82748204,118.778592
4/1/2008,2.28,2.7251103,100.7424,27.84303331,113.3696566
5/1/2008,1.98,2.7937419,100.132,19.71707703,95.05319911
6/1/2008,2,2.9376962,99.8651,41.20420448,114.5635071
7/1/2008,2.01,3.0142542,99.4214,17.89461275,111.4103478
8/1/2008,2,3.0845059,97.8448,19.80748044,89.31308924
9/1/2008,1.81,3.0766785,93.559,41.11252038,162.7705095
10/1/2008,0.97,2.9291949,94.4956,50.10818882,268.7606311
11/1/2008,0.39,2.7864624,93.2689,43.32025148,210.9979654
12/1/2008,0.16,2.6304305,90.628,39.45439865,159.7728735
1/1/2009,0.15,2.5522481,88.3811,35.41325109,180.446043
2/1/2009,0.22,2.5594949,87.8412,38.7009668,208.3165206
3/1/2009,0.18,2.4535819,86.4794,40.82495562,185.0801065
4/1/2009,0.15,2.3761457,85.7883,47.40948595,168.1667751
5/1/2009,0.18,2.2888288,84.9516,41.98645777,147.3321837
6/1/2009,0.21,2.0898948,84.6928,40.00482705,127.5057181
7/1/2009,-0.12,1.9228669,85.7044,44.71678008,124.2149738
8/1/2009,-0.28,1.7701932,86.6617,33.94120696,94.21638986
9/1/2009,-0.41,1.6158958,87.4033,28.05960258,80.25219662
10/1/2009,-0.47,1.5209969,87.6035,38.79671978,89.13255278
11/1/2009,-0.61,1.3714917,87.9559,34.34957758,103.5198416
12/1/2009,-0.15,1.3248615,88.2468,40.4365735,118.241331
1/1/2010,-0.45,1.1770019,89.1911,34.99863931,131.6939524
2/1/2010,-0.54,1.0548474,89.4972,25.1223025,137.9234748
3/1/2010,-0.48,0.93183853,90.1419,24.24484706,108.3257081
4/1/2010,-0.47,0.87602978,90.4591,23.33252625,112.2341725
5/1/2010,-0.48,0.7998678,91.702,33.60477088,148.9125598
6/1/2010,-0.54,0.78483473,91.8997,25.29465631,153.2911036
7/1/2010,-0.59,0.74959322,92.2522,26.49924858,169.7954163
8/1/2010,-0.70,0.69562861,92.5899,25.64428821,163.7869011
9/1/2010,-0.80,0.6676136,92.8564,29.25069765,184.8137608
10/1/2010,-1.00,0.67526624,92.6037,22.15053323,243.2383296
11/1/2010,-0.96,0.82600201,92.6773,23.48830657,159.3580827
12/1/2010,-0.88,0.83710132,93.5851,27.54037342,135.6797873
1/1/2011,-1.01,0.96003713,93.3944,24.44048104,117.4903322
2/1/2011,-1.09,1.1238816,92.993,21.77514087,113.5250595
3/1/2011,-0.99,1.1861014,93.982,28.93514215,143.3395002
4/1/2011,-1.07,1.21555,93.6525,20.46286954,153.5714951
5/1/2011,-1.14,1.2613949,93.7775,25.18457343,117.9484879
6/1/2011,-1.12,1.2990532,94.0467,25.61801834,148.2855829
7/1/2011,-1.19,1.4236275,94.4931,23.52390509,183.3377889
8/1/2011,-1.38,1.6569751,95.0969,20.21993284,261.5902471
9/1/2011,-1.40,1.7268145,95.0281,20.0848124,190.9277739
10/1/2011,-1.44,1.8413647,95.6924,21.93322368,137.2056639
11/1/2011,-1.48,1.8407168,95.6913,22.9158509,127.4039457
12/1/2011,-1.47,2.0478499,96.1938,24.46737569,157.8980373
1/1/2012,-1.54,2.1159285,96.779,23.976699,131.8553727
2/1/2012,-1.45,2.0181912,97.0959,29.30528554,113.192631
3/1/2012,-1.27,2.1247577,96.5919,27.36300931,93.67451849
4/1/2012,-1.26,2.1937928,97.2942,27.78235516,124.7610838
5/1/2012,-1.24,2.1896843,97.4853,26.2230942,150.2023033
6/1/2012,-1.11,2.2407468,97.4959,20.00228568,194.5193498
7/1/2012,-1.18,2.2616531,97.6922,19.58176834,154.6317371
8/1/2012,-1.26,2.1718632,97.3061,36.63115672,153.7680991
9/1/2012,-1.36,2.2199385,97.2383,23.92098936,127.312291
10/1/2012,-1.34,2.2070705,97.5425,18.3275914,162.3784221
11/1/2012,-1.42,2.1959869,97.934,20.18755081,208.079818
12/1/2012,-1.43,2.1097305,98.1984,19.14519042,180.1095766
1/1/2013,-1.36,2.0682971,98.2029,22.50407154,171.6455177
2/1/2013,-1.42,2.146017,98.6733,23.04822233,148.1603587
3/1/2013,-1.44,2.0999025,99.0788,11.5484057,144.9387273
4/1/2013,-1.52,1.9354319,98.9658,25.62440706,113.0053606
5/1/2013,-1.27,1.907797,99.0567,31.02794451,94.7788351
6/1/2013,-0.97,1.8766189,99.2424,43.14279253,89.81559429
7/1/2013,-1.52,1.867879,98.9258,44.38683848,84.3205368
8/1/2013,-1.67,1.9142202,99.5059,55.62758393,96.27467192
9/1/2013,-1.80,1.8904211,100.0391,43.36034356,105.7142714
10/1/2013,-1.85,1.8687356,99.9203,42.92119517,175.484422
11/1/2013,-2.00,1.8930866,100.1661,22.16780287,86.78852632
12/1/2013,-2.13,1.8711904,100.3777,45.23974828,79.11332241
1/1/2014,-2.38,1.8218145,99.999,41.91403154,79.57461149
2/1/2014,-2.54,1.7891863,100.7583,52.05900421,83.74469568
3/1/2014,-2.62,1.8208567,101.7767,45.72824735,76.4884503
4/1/2014,-2.89,2.0251612,101.8425,37.65346662,76.35499759
5/1/2014,-2.99,2.1282345,102.2594,31.44541265,80.34020744
6/1/2014,-2.89,2.1433409,102.5986,28.52175038,73.38570849
7/1/2014,-2.84,2.1008094,102.8163,47.19251068,66.22013373
8/1/2014,-2.89,1.9625042,102.6562,25.93849499,56.42710598
9/1/2014,-2.81,1.954047,102.9776,33.12671048,54.82860605
10/1/2014,-2.80,2.0060187,102.9892,38.8273286,67.35219026
11/1/2014,-2.77,2.0043657,103.6402,35.7458585,62.01409133
12/1/2014,-2.42,1.9711259,103.6345,34.47370402,59.28945455
1/1/2015,-2.27,1.985653,102.8239,30.27783949,65.80187812
2/1/2015,-1.97,1.9819969,102.1513,27.12735545,66.77600884
3/1/2015,-1.81,1.9991371,101.824,30.371662,65.93089576
4/1/2015,-1.59,2.0631236,101.244,35.6936139,75.05968785
5/1/2015,-1.43,2.0668869,100.783,26.57875519,70.72626918
6/1/2015,-1.40,2.1147326,100.4781,29.97944793,68.29612631
7/1/2015,-1.29,2.1414477,101.1052,27.31912609,68.23484422
8/1/2015,-0.92,2.1802398,100.9442,27.62008093,82.52831822
9/1/2015,-0.74,2.279431,100.6507,25.16314004,87.5114233
10/1/2015,-0.53,2.3462109,100.1871,30.61756378,68.76893956
11/1/2015,0.12,2.4052606,99.4382,30.46777938,60.3351401
12/1/2015,0.24,2.4436874,98.939,21.75177643,64.56812739
1/1/2016,0.34,2.4667222,99.4558,26.78634383,64.49587953
2/1/2016,0.38,2.5442092,98.9136,29.47782184,76.45820322
3/1/2016,0.36,2.531878,98.1907,23.91196473,67.12178912
4/1/2016,0.37,2.537996,98.4669,29.97606483,57.17000035
5/1/2016,0.37,2.5711572,98.2518,30.63622537,60.25021804
6/1/2016,0.38,2.5689022,98.7275,25.75843636,129.5293091
7/1/2016,0.39,2.5758512,98.836,31.1202464,87.08155218
